ngcut01.txt	 MaxL 	51	 L 	10	10	23	0.000000
ngcut02.txt	 MaxL 	85	 L 	10	17	32	0.000000
ngcut03.txt	 MaxL 	105	 L 	10	21	29	0.000000
ngcut04.txt	 MaxL 	78	 L 	10	7	20	0.000000
ngcut05.txt	 MaxL 	147	 L 	10	14	44	0.000000
ngcut06.txt	 MaxL 	88	 L 	10	15	31	0.000000
ngcut07.txt	 MaxL 	63	 L 	20	8	20	0.000000
ngcut08.txt	 MaxL 	149	 L 	20	13	38	0.000000
ngcut09.txt	 MaxL 	176	 L 	20	18	57	0.000000
ngcut10.txt	 MaxL 	277	 L 	30	13	81	0.000000
ngcut11.txt	 MaxL 	217	 L 	30	15	55	0.000000
ngcut12.txt	 MaxL 	208	 L 	30	22	87	0.000000
gcut01.txt	 MaxL 	1086	 L 	250	10	1016	0.000000
gcut02.txt	 MaxL 	2367	 L 	250	20	1259	0.000000
gcut03.txt	 MaxL 	3317	 L 	250	30	1803	0.000000
gcut04.txt	 MaxL 	6125	 L 	250	50	3049	0.000000
cgcut01.txt	 MaxL 	72	 L 	10	16	25	0.000000
cgcut02.txt	 MaxL 	326	 L 	70	23	70	0.000000
cgcut03.txt	 MaxL 	1529	 L 	70	62	669	0.000000
beng01.txt	 MaxL 	155	 L 	25	20	33	0.000000
beng02.txt	 MaxL 	294	 L 	25	40	61	0.000000
beng03.txt	 MaxL 	428	 L 	25	60	90	0.000000
beng04.txt	 MaxL 	576	 L 	25	80	113	0.000000
beng05.txt	 MaxL 	708	 L 	25	100	139	0.000000
beng06.txt	 MaxL 	294	 L 	40	40	39	0.000000
beng07.txt	 MaxL 	576	 L 	40	80	69	0.000000
scp1.txt	 MaxL 	29	 L 	5	5	13	0.000000
scp2.txt	 MaxL 	78	 L 	4	5	40	0.000000
scp3.txt	 MaxL 	58	 L 	6	5	16	0.000000
scp4.txt	 MaxL 	41	 L 	6	6	20	0.000000
scp5.txt	 MaxL 	63	 L 	20	5	20	0.000000
scp6.txt	 MaxL 	70	 L 	30	7	38	0.000000
scp7.txt	 MaxL 	45	 L 	15	5	14	0.000000
scp8.txt	 MaxL 	69	 L 	15	5	19	0.000000
scp9.txt	 MaxL 	138	 L 	27	6	68	0.000000
scp10.txt	 MaxL 	260	 L 	50	4	80	0.000000
scp11.txt	 MaxL 	108	 L 	27	10	48	0.000000
scp12.txt	 MaxL 	207	 L 	81	6	39	0.000000
scp13.txt	 MaxL 	99	 L 	70	7	51	0.000000
scp14.txt	 MaxL 	203	 L 	100	4	78	0.000000
scp15.txt	 MaxL 	152	 L 	45	10	40	0.000000
scp16.txt	 MaxL 	72	 L 	6	7	33	0.000000
scp17.txt	 MaxL 	108	 L 	42	9	34	0.000000
scp18.txt	 MaxL 	246	 L 	70	5	104	0.000000
scp19.txt	 MaxL 	53	 L 	5	6	26	0.000000
scp20.txt	 MaxL 	58	 L 	15	10	21	0.000000
scp21.txt	 MaxL 	285	 L 	30	7	145	0.000000
scp22.txt	 MaxL 	272	 L 	90	10	40	0.000000
scp23.txt	 MaxL 	73	 L 	15	5	38	0.000000
scp24.txt	 MaxL 	275	 L 	50	10	116	0.000000
scp25.txt	 MaxL 	134	 L 	25	15	39	0.000000
scpl1.txt	 MaxL 	1643	 L 	425	28	52	0.000000
scpl2.txt	 MaxL 	1129	 L 	127	25	156	0.000000
scpl3.txt	 MaxL 	2108	 L 	225	20	165	0.000000
scpl4.txt	 MaxL 	1511	 L 	365	30	61	0.000000
scpl5.txt	 MaxL 	1511	 L 	165	30	135	0.000000
scpl6.txt	 MaxL 	694	 L 	657	20	24	0.000000
scpl7.txt	 MaxL 	1914	 L 	357	40	121	0.060000
scpl8.txt	 MaxL 	2225	 L 	475	43	68	0.060000
scpl9.txt	 MaxL 	1305	 L 	175	30	97	0.000000
ht1_1.txt	 MaxL 	94	 L 	20	16	21	0.000000
ht1_2.txt	 MaxL 	79	 L 	20	17	22	0.000000
ht1_3.txt	 MaxL 	74	 L 	20	16	21	0.000000
ht2_1.txt	 MaxL 	77	 L 	40	25	16	0.000000
ht2_2.txt	 MaxL 	78	 L 	40	25	17	0.000000
ht2_3.txt	 MaxL 	69	 L 	40	25	16	0.000000
ht3_1.txt	 MaxL 	158	 L 	60	28	32	0.000000
ht3_2.txt	 MaxL 	171	 L 	60	29	33	0.000000
ht3_3.txt	 MaxL 	166	 L 	60	28	34	0.000000
ht4_1.txt	 MaxL 	472	 L 	60	49	64	0.000000
ht4_2.txt	 MaxL 	455	 L 	60	49	66	0.000000
ht4_3.txt	 MaxL 	409	 L 	60	49	63	0.000000
ht5_1.txt	 MaxL 	698	 L 	60	73	95	0.000000
ht5_2.txt	 MaxL 	659	 L 	60	73	95	0.000000
ht5_3.txt	 MaxL 	734	 L 	60	73	95	0.000000
ht6_1.txt	 MaxL 	1183	 L 	80	97	124	0.000000
ht6_2.txt	 MaxL 	990	 L 	80	97	127	0.000000
ht6_3.txt	 MaxL 	1095	 L 	80	97	125	0.000000
ht7_1.txt	 MaxL 	3167	 L 	160	196	250	0.060000
ht7_2.txt	 MaxL 	2894	 L 	160	197	248	0.050000
ht7_3.txt	 MaxL 	2887	 L 	160	196	248	0.060000
ngcut01.txt	 MaxL 	51	 L 	10	10	23	0.500000
ngcut02.txt	 MaxL 	85	 L 	10	17	30	0.820000
ngcut03.txt	 MaxL 	105	 L 	10	21	28	0.110000
ngcut04.txt	 MaxL 	78	 L 	10	7	20	0.270000
ngcut05.txt	 MaxL 	147	 L 	10	14	36	0.000000
ngcut06.txt	 MaxL 	88	 L 	10	15	31	0.720000
ngcut07.txt	 MaxL 	63	 L 	20	8	20	0.000000
ngcut08.txt	 MaxL 	149	 L 	20	13	34	0.600000
ngcut09.txt	 MaxL 	176	 L 	20	18	53	1.040000
ngcut10.txt	 MaxL 	277	 L 	30	13	81	0.600000
ngcut11.txt	 MaxL 	217	 L 	30	15	54	0.710000
ngcut12.txt	 MaxL 	208	 L 	30	22	87	1.270000
gcut01.txt	 MaxL 	1086	 L 	250	10	1016	0.660000
gcut02.txt	 MaxL 	2367	 L 	250	20	1208	1.370000
gcut03.txt	 MaxL 	3317	 L 	250	30	1803	2.470000
gcut04.txt	 MaxL 	6125	 L 	250	50	3025	6.920000
cgcut01.txt	 MaxL 	72	 L 	10	16	23	0.050000
cgcut02.txt	 MaxL 	326	 L 	70	23	67	1.590000
cgcut03.txt	 MaxL 	1529	 L 	70	62	662	7.090000
beng01.txt	 MaxL 	155	 L 	25	20	31	1.160000
beng02.txt	 MaxL 	294	 L 	25	40	58	3.070000
ngcut01.txt	 MaxL 	51	 L 	10	10	23	0.490000
ngcut02.txt	 MaxL 	85	 L 	10	17	30	0.820000
ngcut03.txt	 MaxL 	105	 L 	10	21	28	0.060000
ngcut04.txt	 MaxL 	78	 L 	10	7	20	0.280000
ngcut05.txt	 MaxL 	147	 L 	10	14	36	0.000000
ngcut06.txt	 MaxL 	88	 L 	10	15	31	0.710000
ngcut07.txt	 MaxL 	63	 L 	20	8	20	0.000000
ngcut08.txt	 MaxL 	149	 L 	20	13	34	0.660000
ngcut09.txt	 MaxL 	176	 L 	20	18	53	1.040000
ngcut10.txt	 MaxL 	277	 L 	30	13	81	0.660000
ngcut11.txt	 MaxL 	217	 L 	30	15	52	0.770000
ngcut12.txt	 MaxL 	208	 L 	30	22	87	1.260000
gcut01.txt	 MaxL 	1086	 L 	250	10	1016	0.550000
gcut02.txt	 MaxL 	2367	 L 	250	20	1208	1.320000
gcut03.txt	 MaxL 	3317	 L 	250	30	1803	2.470000
gcut04.txt	 MaxL 	6125	 L 	250	50	3028	5.930000
cgcut01.txt	 MaxL 	72	 L 	10	16	23	0.000000
cgcut02.txt	 MaxL 	326	 L 	70	23	67	1.600000
cgcut03.txt	 MaxL 	1529	 L 	70	62	669	7.360000
beng01.txt	 MaxL 	155	 L 	25	20	31	1.150000
beng02.txt	 MaxL 	294	 L 	25	40	59	2.970000
beng03.txt	 MaxL 	428	 L 	25	60	85	5.280000
beng04.txt	 MaxL 	576	 L 	25	80	108	8.840000
beng05.txt	 MaxL 	708	 L 	25	100	135	11.470000
beng06.txt	 MaxL 	294	 L 	40	40	37	3.190000
beng07.txt	 MaxL 	576	 L 	40	80	68	8.450000
scp1.txt	 MaxL 	29	 L 	5	5	13	0.050000
scp2.txt	 MaxL 	78	 L 	4	5	40	0.000000
scp3.txt	 MaxL 	58	 L 	6	5	14	0.050000
scp4.txt	 MaxL 	41	 L 	6	6	20	0.330000
scp5.txt	 MaxL 	63	 L 	20	5	20	0.000000
scp6.txt	 MaxL 	70	 L 	30	7	38	0.330000
scp7.txt	 MaxL 	45	 L 	15	5	14	0.280000
scp8.txt	 MaxL 	69	 L 	15	5	17	0.000000
scp9.txt	 MaxL 	138	 L 	27	6	68	0.000000
scp10.txt	 MaxL 	260	 L 	50	4	80	0.210000
scp11.txt	 MaxL 	108	 L 	27	10	48	0.380000
scp12.txt	 MaxL 	207	 L 	81	6	34	0.000000
scp13.txt	 MaxL 	99	 L 	70	7	50	0.330000
scp14.txt	 MaxL 	203	 L 	100	4	69	0.330000
scp15.txt	 MaxL 	152	 L 	45	10	36	0.720000
scp16.txt	 MaxL 	72	 L 	6	7	33	0.440000
scp17.txt	 MaxL 	108	 L 	42	9	34	0.000000
scp18.txt	 MaxL 	246	 L 	70	5	100	0.320000
scp19.txt	 MaxL 	53	 L 	5	6	25	0.110000
scp20.txt	 MaxL 	58	 L 	15	10	21	0.490000
scp21.txt	 MaxL 	285	 L 	30	7	140	0.390000
scp22.txt	 MaxL 	272	 L 	90	10	36	0.930000
scp23.txt	 MaxL 	73	 L 	15	5	34	0.440000
